Model,Accuracy,Precision,Recall,F1 Score,Notes,Confusion Matrix
RandomForest,0.48057995361831896,0.4321790702123589,0.12375143801471797,0.19240815399466243,,"[[45859, 8904], [47986, 6777]]"
LogisticRegression,0.5414604751383233,0.5617033997336739,0.37742636451618794,0.45148536478811707,,"[[38635, 16128], [34094, 20669]]"
XGBoost,0.5155214287018608,0.6634615384615384,0.06299874002519949,0.11507096042559578,,"[[53013, 1750], [51313, 3450]]"
